CODERESP;SECURITYID;BIRTHYEARR;CONTROL1;CONTROL3;CONTROL3@;S11;POLINT;PART;NONVOTE_01;NONVOTE_02;NONVOTE_03;NONVOTE_04;NONVOTE_05;NONVOTE_06;NONVOTE_07;NONVOTE_08;NONVOTE_09;NONVOTE_10;NONVOTE_98;PARTY15;VOTE1;VOTE1A;VOTE1B;VOTE1C;IMPORTANCE1;REASON1ACC1;REASON1ACC1_01;REASON1ACC1_02;REASON1ACC1_03;REASON1ACC1_04;REASON1ACC1_05;REASON1ACC1_06;REASON2ACC1;REASON2ACC1_01;REASON2ACC1_02;REASON2ACC1_03;REASON2ACC1_04;REASON2ACC1_05;REASON1DEN1;REASON1DEN1_01;REASON1DEN1_02;REASON1DEN1_03;REASON1DEN1_04;REASON1DEN1_05;REASON1DEN1_06;REASON1DEN1_07;REASON2DEN1;REASON2DEN1_01;REASON2DEN1_02;REASON2DEN1_03;REASON2DEN1_04;REASON2DEN1_05;REASON2DEN1_06;VOTE2;VOTE2A;VOTE2B;VOTE2C;IMPORTANCE2;REASON1ACC2;REASON1ACC2_01;REASON1ACC2_02;REASON1ACC2_03;REASON2ACC2;REASON2ACC2_01;REASON2ACC2_02;REASON2ACC2_03;REASON1DEN2;REASON1DEN2_01;REASON1DEN2_02;REASON1DEN2_03;REASON2DEN2;REASON2DEN2_01;REASON2DEN2_02;REASON2DEN2_03;REASON2DEN2_04;REASON2DEN2_05;REASON2DEN2_06;VOTE3;VOTE3A;VOTE3B;VOTE3C;IMPORTANCE3;REASON1ACC3;REASON1ACC3_01;REASON1ACC3_02;REASON1ACC3_03;REASON1ACC3_04;REASON2ACC3;REASON2ACC3_01;REASON2ACC3_02;REASON2ACC3_03;REASON2ACC3_04;REASON1DEN3;REASON1DEN3_01;REASON1DEN3_02;REASON1DEN3_03;REASON1DEN3_04;REASON1DEN3_05;REASON1DEN3_06;REASON2DEN3;REASON2DEN3_01;REASON2DEN3_02;REASON2DEN3_03;REASON2DEN3_04;REASON2DEN3_05;VOTE4;VOTE4A;VOTE4B;VOTE4C;IMPORTANCE4;REASON1ACC4;REASON1ACC4_01;REASON1ACC4_02;REASON1ACC4_03;REASON1ACC4_04;REASON1ACC4_05;REASON2ACC4;REASON2ACC4_01;REASON2ACC4_02;REASON2ACC4_03;REASON2ACC4_04;REASON1DEN4;REASON1DEN4_01;REASON1DEN4_02;REASON1DEN4_03;REASON1DEN4_04;REASON2DEN4;REASON2DEN4_01;REASON2DEN4_02;REASON2DEN4_03;REASON2DEN4_04;REASON2DEN4_05;REASON2DEN4_06;TRUST_1;TRUST_2;TRUST_3;TRUST_4;TRUST_5;TRUST_7;TRUST_8;TRUST_9;TRUST_10;TRUST_16;TRUST_30;TRUST_49;TRUST_64;TRUST_65;TRUST_66;TRUST_67;LRSP;VALUE3;VALUE5;VALUE7;VALUE10;DIFFICUL1;DECTIME1;ARGU1_1;ARGU1_2;ARGU1_3;ARGU1_4;ARGU1_5;ARGU1_6;DIFFICUL2;DECTIME2;ARGU2_1;ARGU2_2;ARGU2_3;ARGU2_4;ARGU2_5;ARGU2_6;DIFFICUL3;DECTIME3;ARGU3_1;ARGU3_2;ARGU3_3;ARGU3_4;ARGU3_5;ARGU3_6;DIFFICUL4;DECTIME4;ARGU4_1;ARGU4_2;ARGU4_3;ARGU4_4;ARGU4_5;ARGU4_6;ZUSATZ1A241124;ZUSATZ2A241124;ZUSATZ3A241124_01;ZUSATZ3A241124_02;ZUSATZ3A241124_03;ZUSATZ3A241124_04;ZUSATZ3A241124_05;ZUSATZ3A241124_06;ZUSATZ3A241124_98;ZUSATZ3A241124@_05;ZUSATZ4A241124_1;ZUSATZ4A241124_2;ZUSATZ4A241124_3;ZUSATZ4A241124_4;ZUSATZ4A241124_5;ZUSATZ4A241124_6;ZUSATZ5A241124_01;ZUSATZ5A241124_02;ZUSATZ5A241124_03;ZUSATZ5A241124_04;ZUSATZ5A241124_05;ZUSATZ5A241124_06;ZUSATZ5A241124_07;ZUSATZ5A241124_08;ZUSATZ5A241124_98;ZUSATZ6A241124;ONLINE;MEDIAUSE_1;MEDIAUSE_2;MEDIAUSE_3;MEDIAUSE_4;MEDIAUSE_5;MEDIAUSE_6;MEDIAUSE_7;MEDIAUSE_8;MEDIAUSE_9;MEDIAUSE_10;MEDIAUSE_11;MEDIAUSE_12;MEDIAUSE_13;MEDIAUSE_14;MEDIAUSE_15;MEDIAUSE2_1;MEDIAUSE2_2;MEDIAUSE2_3;MEDIAUSE2_4;MEDIAUSE2_5;MEDIAUSE2_6;MEDIAUSE2_7;MEDIAUSE2_8;DISCUS;VOTEWIE;PART2;MEDHAUPT;PARTYA;CITIZENREPA;ORIGINPARENTS;CONFESSD;CONFESSR;CULT;EDUC;ACTI;ACTIPREV;S17JOBPOSITION;WORKLOAD;S17SECTOR;MAINEARNER;EDUCMAIN;ACTIMAIN;INCOME;INCOMEPRECARIAT;HABITAT;GEWVORL1;GEWVORL2;GEWVORL3;GEWVORL4;UNUSED
13983;20241124.56879.242;1944; ; ; ;2;2;1; ; ; ; ; ; ; ; ; ; ; ;2;2; ;4; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ;Stop Ausbau Nationalstrassen;103; ; ; ; ; ; ; ;999; ; ; ; ; ;3; ; ;8;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ;8;98; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;0;einheitliche schweizerische Lösung;302; ; ; ; ;Abschaffung von Kantongeist;100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;4;6;5;0;5;7;7;8;0;8;98;7;98;7;98;3;1;1;1;3;1;1;4;1;8;1;1;1;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;1;1;1;1;1;1;8;8;98;98;0;0;0;0;0;0;1; ;1;1;1;98;1;1;1;1;1;1;1;1;1;0;0;4;2;10;3;7;3;0;98;0;0;0;3;0;0;0;0;98;0;0;0;3;98;6;5;3;2;1;10; ;2;1;1;1;1;2;33;7;7; ;22; ;8; ; ;7;2;2;,395396291206854;,359483717927757;,376986260810092;,302085066379173;0
13985;20241124.53362.242;2004; ; ; ;2;3;1; ; ; ; ; ; ; ; ; ; ; ;1;1;4; ; ;10;weniger Stau, effizienter;301;401; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;4; ;10; ; ; ; ; ; ; ; ;Kostenexplosion;402; ; ; ;999; ; ; ; ; ;2; ;3; ;10; ; ; ; ; ; ; ; ; ; ;Auch Kosten;602; ; ; ; ; ; ;999; ; ; ; ;1;4; ; ;10;Kostensenkung;503; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;6;5;5;7;5;7;7;4;6;3;5;7;8;7;10;5;6;6;1;1;2;1;1;1;1;1;4;4;2;1;1;2;1;4;4;4;2;1;4;4;1;1;4;1;2;1;4;4;1;1;1;1;4;1;1;0;0;1;0;0;0; ;3;1;4;4;1;1;0;1;1;0;0;1;0;0;0;2;2;0;8;8;0;0;0;5;8;6;0;3;8;0;0;0;5;5;5;5;5;5;5;5;4;1;10; ;1;1;2;1;2;4;32;2; ; ;21; ;1; ; ;2;3;1;,0283860221859817;,0310505324923962;,0298390439049027;,0304426979830762;0
13987;20241124.61174.242;1988; ; ; ;1;2;2;0;0;0;1;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;7;7;5;10;9;9;8;7;10;9;8;7;9;8;9;3;3;4;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;1;1;1;1;0;0;0; ;1;2;4;3;1;1;0;0;0;0;1;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ;1;1;2;2; ; ;32;3; ;32;10;1;1; ; ;5;3;1;1,33675695436534;1,34328511031701;1,34343881333133;1,34228350016761;0
13988;20241124.67462.242;1999; ; ; ;1;3;2;0;0;0;1;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;4;4;4;5;4;5;5;4;5;6;8;6;6;6;98;8;9;9;9;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;0;0;1;1;0;0;0; ;3;3;4;4;3;3;0;0;0;0;1;1;0;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;1;1;2;4;51;3; ;98;10;1;3; ; ;5;3;1;1,42037935674866;1,42731588916849;1,42747920725552;1,42625162211899;0
13989;20241124.53465.242;1962; ; ; ;2;3;1; ; ; ; ; ; ; ; ; ; ; ;16;1;4; ; ;8; ;999; ; ; ; ; ; ;998; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;7; ;999; ; ; ;998; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;8; ;999; ; ; ; ;998; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;9; ;999; ; ; ; ; ;998; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;4;3;4;0;4;2;2;0;3;3;7;0;3;5;8;6;9;5;1;1;2;2;2;3;3;3;1;1;2;2;1;3;3;3;1;1;8;2;2;2;2;3;1;1;8;3;2;2;3;3;98;2;0;1;0;0;0;0;0; ;3;2;3;2;2;2;1;1;0;0;0;0;1;0;0;4;3;4;0;3;4;0;4;98;4;1;0;98;1;98;0;3;0;1;2;0;98;4;2;3;4;1;10; ;16;2;2;2; ; ;97;3; ;33;23;2;8; ; ;4;3;2;,77659918972678;,813218389726195;,781238253941066;,832866769139264;0
13991;20241124.57792.242;1969; ; ; ;2;2;1; ; ; ; ; ; ; ; ; ; ; ;17;2; ;4; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ;Es hat schon genug Asphalt und der Verkehr würde zunehmen, statt angenehmen.;402;302; ; ; ; ; ; ;999; ; ; ; ; ;2; ;4; ;3; ; ; ; ; ; ; ; ; ;999; ; ; ;998; ; ; ; ; ;2; ;4; ;3; ; ; ; ; ; ; ; ; ; ;Es ist jetzt schon für geregelt.;504; ; ; ; ; ; ;999; ; ; ; ;8; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;5;5;5;5;5;5;5;10;2;5;5;5;5;5;5;2;1;9;1;1;1;1;3;4;3;1;1;1;1;2;2;4;3;1;1;1;1;1;3;1;2;1;1;2;8;2;8;2;2;2;2;1;1;4;0;0;0;0;0;1;0; ;3;3;98;98;2;3;1;0;1;1;0;0;1;0;0;1;2;5;4;0;0;8;5;0;4;0;0;0;3;0;0;6;2;3;3;3;3;5;2;5;4;1;10; ;2;9;8;8; ; ;51;3; ;32;21;3;1; ; ;98;8;1;1,02597882256465;,952940372199855;,998507366680786;,842835113875897;0
13996;20241124.62674.242;1999; ; ; ;2;2;2;0;0;0;0;0;0;0;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;8;9;5;6;8;5;7;0;10;7;7;8;7;7;10;10;6;4;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2;0;1;0;0;0;0;0; ;1;1;3;4;1;3;0;0;1;0;0;0;0;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8; ;1;1;1;1;1;2;51;3; ;33;10;1;1; ; ;6;1;1;1,34177440359634;1,3483270626493;1,34848134258007;1,34732169300716;0
13997;20241124.66209.242;1991; ; ; ;2;3;1; ; ; ; ; ; ; ; ; ; ; ;99;2; ;4; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ;Aufgelistete Strassen, welche ausgebaut werden sollen, sind nicht verantwortlich für die Staus, die wir haben.;301; ; ; ; ; ; ; ;999; ; ; ; ; ;2; ;4; ;0; ; ; ; ; ; ; ; ; ;999; ; ; ;999; ; ; ; ; ;2; ;4; ;0; ; ; ; ; ; ; ; ; ; ; ;999; ; ; ; ; ; ;999; ; ; ; ;1;4; ; ;6; ; ; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;6;9;4;9;9;8;1;2;3;4;3;1;1;2;1;8;8;8;8;8;8;1;1;8;8;8;8;8;8;1;1;8;8;8;8;8;8;98;98;0;0;0;0;0;0;1; ;98;2;2;2;1;2;0;0;0;0;0;0;1;0;0;2;2;2;0;0;5;0;0;0;0;0;0;0;0;0;0;98;2;0;0;0;0;3;0;3;5;1;4; ; ;1;1;1;1;4;32;3; ;33;23;1;2;98;98;11;1;1;,843393774890901;,783353379309085;,82081118900309;,644357749775681;0
13998;20241124.65552.242;1977; ; ; ;2;2;2;0;0;0;0;0;0;0;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10;10;98;10;5;8;4;4;10;8;10;8;98;98;98;98;8;5;2;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;98;0;0;0;0;0;0;1; ;2;1;1;3;1;3;1;1;1;1;0;0;1;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ;1;2;2;1;2;4;51;3; ;33;21;1;2;51;3;11;1;2;,932679024710343;,937233834847127;,937341076165022;,936534993689628;0
14000;20241124.51708.242;1974; ; ; ;2;3;2;0;0;0;0;1;0;0;0;0;0;0;16; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;1;1;1;1;1;1;5;0;5;1;5;5;5;98;3;9;9;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;98;0;1;0;0;0;0;0; ;98;98;98;98;98;98;1;1;1;1;1;1;0;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;18;1;1;1;2;2;32;9;3;32;10;1;1; ; ;6;1;2;1,77667175039478;1,78534826426937;1,78555254957539;1,7840170331495;0
14002;20241124.66624.242;2006; ; ; ;2;2;1; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ; ;2;Grund: weniger Stau;301; ; ; ; ; ;Grund: Einfachere Fortbewegung;303; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;4; ;10; ; ; ; ; ; ; ; ;Grund: höhere Kosten (Mietkosten);400; ; ;Grund: verliert Wohnung schneller (bzw. Vermieter kann einfacher einem künden.);502; ; ; ; ; ;2; ;4; ;10; ; ; ; ; ; ; ; ; ; ;Grund: Unsichere Mietverhältnisse;403; ; ; ; ; ;Grund: - Durch höhere Kosten und Eigenbedarf, Verlust der Wohnung - bereits schiwerig Wohnung zu leisten bzw. zu finden.;600;602; ; ; ;1;2; ; ;9; ; ; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;8;5;3;5;7;98;98;6;5;8;7;5;5;98;98;8;5;5;2;2;1;2;2;2;1;3;2;3;1;1;3;4;1;1;1;1;1;1;4;4;3;2;1;1;2;2;2;2;3;3;1;1;3;1;1;1;1;1;0;0;0; ;2;3;2;3;2;2;0;0;1;0;1;1;0;0;0;2;2;8;5;9;7;5;8;7;4;3;2;3;2;2;0;0;4;1;0;1;0;9;2;9;3;1;10; ;1;1;1;1;1;2;32;6;4; ;98; ;4;51;5;9;2;2;,0283860221859817;,0310505324923962;,0298390439049027;,0304426979830762;0
14006;20241124.69211.242;1939; ; ; ;2;2;1; ; ; ; ; ; ; ; ; ; ; ;4;1;8; ; ;10;"Stau; weniger Unfälle";301;503; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;6;Gerechtigkeit;500; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ;6;Eigentumswohnung;203; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;10;Gerechtigkeit;206; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;5;4;5;8;5;3;3;4;5;5;6;7;7;9;10;5;5;5;5;5;1;1;1;1;1;2;2;2;1;2;2;2;2;3;3;3;1;2;2;3;2;4;1;3;1;1;2;2;1;4;4;3;2;3;0;0;0;1;0;0;0; ;1;1;2;2;1;1;1;1;0;1;0;0;1;0;0;2;2;8;0;8;0;0;6;5;0;5;3;0;3;0;0;2;0;2;5;0;0;5;3;0;4;1;8; ;4;2;2;1;1;2;32;7;3;33;23;1;2;32;7;5;2;2;1,8499315359932;1,93716187797385;1,86098221863752;1,98396614610627;0
14007;20241124.50026.242;1962; ; ; ;2;2;1; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ; ;5;Notwendigkeit für Veränderung;207; ; ; ; ; ;Das Meiste, das wir kaufen muss transportiert werden.;207;404; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;10;Mieter haben eine zu starke Lobby;105;901; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;10;Vermieter stärken;401;304; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;8;die 'richtigen' Anreize geben;501;206; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;5;5;5;5;6;8;10;2;9;2;8;3;10;5;5;8;3;5;5;4;2;2;2;1;1;4;4;4;1;1;1;1;1;4;4;3;1;1;1;1;3;4;2;1;1;1;2;1;1;2;2;4;3;2;0;0;0;0;1;0;0;dass der Vermieter besser gestellt wird;2;1;4;2;1;1;1;1;1;1;1;1;0;0;0;3;2;1;0;10;10;7;0;5;0;0;0;0;0;2;10;0;98;98;98;98;98;98;98;98;8;8;98; ;1;1;1;1;1;4;51;2; ; ;10; ;3; ; ;10;1;2;,801855099100095;,839665198097014;,806645031081078;,859952565673287;0
14008;20241124.55351.242;1940; ; ; ;1;2;2;0;0;0;0;0;0;0;0;0;1;0;99; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10;9;98;98;98;10;98;98;10;10;10;10;98;10;10;98;98;1;6;6;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;1;0;0;0;0;0;0;1; ;1;2;2;2;1;3;0;0;0;0;0;0;1;0;0;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98; ;18;2;2;2; ; ;51;7;3;32;10;1;3; ; ;98;1;2;2,17872630440062;2,18936628277865;2,18961679712928;2,18773379874921;0
14011;20241124.52867.242;1959; ; ; ;2;1;1; ; ; ; ; ; ; ; ; ; ; ;17;2; ;4; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ;Bei uns in der Ostschweiz (Thurgau) geht in Sachen Autobahnanschluss Kreuzlingen wieder mal nichts!;205; ; ; ; ; ; ;zu teuer;600; ; ; ; ; ;2; ;4; ;1; ; ; ; ; ; ; ; ; ;999; ; ; ;999; ; ; ; ; ;2; ;4; ;1; ; ; ; ; ; ; ; ; ; ;Genügend wie es ist;504; ; ; ; ; ; ;999; ; ; ; ;1;4; ; ;4;In der Hoffnung, dass die KK nicht in dem Ausmann wie anhin steigen;503; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;6;6;6;5;7;7;6;7;6;8;8;8;8;8;8;5;1;5;3;6;2;1;2;3;2;2;1;1;2;2;1;2;2;1;1;3;1;2;1;1;1;3;1;2;1;1;1;1;1;1;1;2;98;4;1;1;0;1;0;0;0; ;2;2;4;4;1;2;0;1;0;1;1;1;1;0;0;2;3;2;10;10;2;2;3;3;7;7;1;1;5;0;0;0;0;98;2;2;2;3;2;9;2;1;10; ;9;1;1;2; ; ;32;7;3;33;23;1;2;51;7;6;2;2;,705094791117919;,654899767818307;,686215278186338;,538696521730989;0
14017;20241124.55884.242;1983; ; ; ;1;8;1; ; ; ; ; ; ; ; ; ; ; ;2;2; ;8; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ;Der Ausbau von Autobahnen hilft nur kurzfristig;304; ; ; ; ; ; ;Die Zukunft ist die Mobilitätswende. Auto sollen ein Teil des ÖVs werden;504;101; ; ; ; ;2; ;4; ;9; ; ; ; ; ; ; ; ; ;999; ; ; ;999; ; ; ; ; ;2; ;8; ;5; ; ; ; ; ; ; ; ; ; ;Gerade jetzt, wo Wohnraum immer teurer wird, was es der falsche Zeitpunkt. Was eine 'missbräuliche Untermiete' ist, ist schnell Definitionssache, die Vermieter ausnutzen können;403;601;501; ; ; ;Es kann zu schnell Eigenbedarf geltend gemacht werden. Für Familien mit kleinem Budget ein Desaster. - mögliche Kündigungsfristen sind eine Frechheit;501;604; ; ; ;1;2; ; ;7;Kosten bei stationären Behandlungen senken;304;504; ; ; ;Was mich gestört hat, war dass die Altenpflege auch wie stationäre Behandlungen behandelt werden;304; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;8;6;4;9;8;4;9;5;7;6;98;9;5;8;8;4;2;2;8;2;1;1;3;2;2;1;1;1;1;1;2;4;2;3;2;2;1;1;4;4;3;2;1;1;2;3;2;2;1;3;3;2;2;2;0;1;0;0;0;0;0; ;2;1;2;98;2;3;0;0;1;0;0;1;0;0;0;4;2;0;10;10;10;8;2;3;3;7;98;0;3;1;0;0;4;4;5;98;3;8;4;8;4;2;9; ;16;1;1;2; ; ;32;3; ;33;10;1;1; ; ;3;2;1;,610990922761844;,56749506377917;,594631120969702;,46680061893404;0
14020;20241124.51741.242;1970; ; ; ;1;3;1; ; ; ; ; ; ; ; ; ; ; ;5;1;4; ; ;10;zu viel Verkehr;303; ; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;4; ;0; ; ; ; ; ; ; ; ; ;999; ; ; ;999; ; ; ; ; ;2; ;4; ;0; ; ; ; ; ; ; ; ; ; ; ;999; ; ; ; ; ; ;999; ; ; ; ;1;8; ; ;0; ; ; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;98;98;98;0;1;6;6;9;8;8;1;1;1;1;1;1;8;8;4;4;3;2;4;2;8;8;3;8;2;3;3;2;8;8;2;3;3;2;2;2;98;98;0;0;0;0;0;0;0; ;98;2;2;2;1;1;1;1;1;0;0;0;0;0;0;98;8;0;0;0;10;0;0;0;0;98;0;0;0;0;0;0;0;0;0;0;0;0;0;10;5;1;10; ;5;2;2;2; ; ;51;1; ;11;23;1;1; ; ;6;1;2;,0406890748433319;,0445084356036456;,0427718643614548;,0436371538270006;0
14021;20241124.63458.242;1963; ; ; ;2;2;1; ; ; ; ; ; ; ; ; ; ; ;17;2; ;4; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ;Umweltschutz;501; ; ; ; ; ; ;Kulturlandverlust,noch mehr Lärm und Abgase und Zubetonierung;401;500;303;402; ; ;2; ;4; ;1; ; ; ; ; ; ; ; ;Das ist besser für die Mieter.;500; ; ; ;999; ; ; ; ; ;2; ;4; ;5; ; ; ; ; ; ; ; ; ; ;Es ist besser für die Mieter;400; ; ; ; ; ; ;999; ; ; ; ;1;4; ; ;5;Ambulant statt stationär;303;304; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;5;3;6;4;4;9;7;9;8;4;8;8;3;9;8;4;1;4;5;5;1;1;4;4;4;1;1;1;1;2;4;4;4;1;1;1;1;2;4;4;4;1;1;1;2;3;2;1;1;3;3;3;2;2;1;1;1;0;0;0;0; ;2;1;2;2;1;2;0;1;1;0;0;0;1;0;0;2;3;4;0;3;8;1;0;0;5;3;4;1;0;0;0;6;1;0;0;0;0;4;0;8;3;1;6; ;9;1;1;1;1;2;22;9;8; ;23; ;8; ; ;3;1;1;,413525458551656;,384086976962431;,402452962568689;,315935855682324;0
